Spain,1,0,0,46439864,Europe,01/02/2020
Sri Lanka,1,0,0,20675000,Asia,01/02/2020
Sweden,1,0,0,9793172,Europe,01/02/2020
China,16607,361,0,1371590000,Asia,02/02/2020
Japan,20,0,0,126865000,Asia,02/02/2020
Thailand,19,0,0,65104000,Asia,02/02/2020
Singapore,18,0,0,5469700,Asia,02/02/2020
Hong Kong,15,0,0,7298600,Asia,02/02/2020
South Korea,15,0,0,51448183,Asia,02/02/2020
Germany,10,0,0,81083600,Europe,02/02/2020
Taiwan,10,0,0,23461708,Asia,02/02/2020
Macau,8,0,0,642900,Asia,02/02/2020
Malaysia,8,0,0,30678800,Asia,02/02/2020
France,6,0,0,66186000,Europe,02/02/2020
Vietnam,6,0,0,91812000,Asia,02/02/2020
United Arab Emirates,5,0,0,9157000,Asia,02/02/2020
Australia,12,0,0,23868800,Oceania,02/02/2020
Canada,4,0,0,35749600,Americas,02/02/2020
India,2,0,0,1275840000,Asia,02/02/2020
Italy,2,0,0,60753794,Europe,02/02/2020
Philippines,2,1,0,101920000,Asia,02/02/2020
Russia,2,0,0,146556330,Europe,02/02/2020
United Kingdom,2,0,0,64800000,Europe,02/02/2020
Cambodia,1,0,0,15405157,Asia,02/02/2020
Finland,1,0,0,5485215,Europe,02/02/2020
Nepal,1,0,0,28037904,Asia,02/02/2020
Spain,1,0,0,46439864,Europe,02/02/2020
Sri Lanka,1,0,0,20675000,Asia,02/02/2020
Sweden,1,0,0,9793172,Europe,02/02/2020
China,19693,425,0,1371590000,Asia,03/02/2020
Japan,20,0,0,126865000,Asia,03/02/2020
Thailand,19,0,0,65104000,Asia,03/02/2020
Singapore,18,0,0,5469700,Asia,03/02/2020
Hong Kong,15,0,0,7298600,Asia,03/02/2020
South Korea,15,0,0,51448183,Asia,03/02/2020
Germany,12,0,0,81083600,Europe,03/02/2020
Taiwan,10,0,0,23461708,Asia,03/02/2020
Macau,8,0,0,642900,Asia,03/02/2020
Malaysia,8,0,0,30678800,Asia,03/02/2020
Vietnam,8,0,0,91812000,Asia,03/02/2020
France,6,0,0,66186000,Europe,03/02/2020
United Arab Emirates,5,0,0,9157000,Asia,03/02/2020
Australia,12,0,0,23868800,Oceania,03/02/2020
Canada,4,0,0,35749600,Americas,03/02/2020
India,3,0,0,1275840000,Asia,03/02/2020
Italy,2,0,0,60753794,Europe,03/02/2020
Philippines,2,1,0,101920000,Asia,03/02/2020
Russia,2,0,0,146556330,Europe,03/02/2020
United Kingdom,2,0,0,64800000,Europe,03/02/2020
Cambodia,1,0,0,15405157,Asia,03/02/2020
Finland,1,0,0,5485215,Europe,03/02/2020
Nepal,1,0,0,28037904,Asia,03/02/2020
Spain,1,0,0,46439864,Europe,03/02/2020
Sri Lanka,1,0,0,20675000,Asia,03/02/2020
Sweden,1,0,0,9793172,Europe,03/02/2020
China,23680,490,0,1371590000,Asia,04/02/2020
Thailand,25,0,0,65104000,Asia,04/02/2020
Singapore,24,0,0,5469700,Asia,04/02/2020
Japan,22,0,0,126865000,Asia,04/02/2020
Hong Kong,17,1,0,7298600,Asia,04/02/2020
South Korea,16,0,0,51448183,Asia,04/02/2020
Germany,12,0,0,81083600,Europe,04/02/2020
Taiwan,11,0,0,23461708,Asia,04/02/2020
Macau,10,0,0,642900,Asia,04/02/2020
Malaysia,10,0,0,30678800,Asia,04/02/2020
Vietnam,8,0,0,91812000,Asia,04/02/2020
France,6,0,0,66186000,Europe,04/02/2020
United Arab Emirates,5,0,0,9157000,Asia,04/02/2020
Australia,13,0,0,23868800,Oceania,04/02/2020
India,3,0,0,1275840000,Asia,04/02/2020
